uuid,className,name,displayName
_S4k98SFQEd-S4dn3K4_SSA,Group,GROUP-DataCenter,Datacenters
_S4k94SFQEd-S4dn3K4_SSA,Group,GROUP-Chassis,Chassis
_S4k98yFQEd-S4dn3K4_SSD,Group,GROUP-StorageController,Storage Controllers
_S4k98yFQEd-S4dn3K4_SSC,Group,GROUP-DiskArray,Disk Arrays
_Ro5pIfzkEeaEtoC7em9MXA,Group,GROUP-LogicalPool,Logical Pools
_S4k98yFQEd-S4dn3K4_SSB,Group,GROUP-Switch,Fabric Interconnects
_S4k98yFQEd-S4dn3K4_SSE,Group,GROUP-IOModule,IOModules
_S4k98yFQEd-S4dn3K5_STE,Group,GROUP-ReplicaSet,ReplicaSet
_S4k98yFQEd-S4dn3K6_STE,Group,GROUP-DuplicateUuidSet,DuplicateUuidSet
_S4k98yFQEd-S4dn3K5_SSE,Group,GROUP-VPods,VPods
_S4k98yFQEd-S4dn3K6_SSE,Group,GROUP-DPods,DPods
_S4k98yFQEd-S4dn3K4_SSA,Group,GROUP-Storage,Storage
_GGXJMAq_EeCdopFV2piRqw,Group,GROUP-StorageTiers,Storage Types
_GGXJMAq_EeCdopFV2piRqz,Group,GROUP-StorageProviders,Storage Providers
_GGXJMAq_11CdopFV2piRqw,Group,GROUP-DS-BLOCK,Block
_GGXJMAq_22CdopFV2piRqw,Group,GROUP-DS-ISCSI,iSCSI
_GGXJMAq_33CdopFV2piRqw,Group,GROUP-DS-FIBERCHANNEL,Fiber Channel
_GGXJMAq_44CdopFV2piRqw,Group,GROUP-DS-FCOE,FCOE
_GGXJMAq_45CdopFV2piRqw,Group,GROUP-DS-BLOCK-OTHER,Other
_GGXJMAq_55CdopFV2piRqw,Group,GROUP-DS-OBJECT,Object
_GGXJMAq_66CdopFV2piRqw,Group,GROUP-DS-FILESYSTEM,File System
_GGXJMAq_77CdopFV2piRqw,Group,GROUP-DS-NFS,NFS
_GGXJMAq_88CdopFV2piRqw,Group,GROUP-DS-CIFS_SMB,CIFS|SMB
_GGXJMAq_89CdopFV2piRqw,Group,GROUP-DS-FS-OTHER,Other
_GGXJMAq_99CdopFV2piRqw,Group,GROUP-DS-LOCAL,Local(Direct Attached)
_GGXJMAq_00CdopFV2piRqw,Group,GROUP-DS-OTHER,Other
