Class Instance Setting Details,,,,,Equivalent XL setting details,,,,
Entity Type,Manager UUID,Manager Name,Setting UUID,Setting Name,Manager UUID,Manager Name,Setting UUID,Setting Name,Mapped Type
Application,actionscriptmanager,Action Script Settings,approvalBackendProvisionApp,On Generation,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,approvalBackendResizeApp,On Generation,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,approvalBackendStartApp,On Generation,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,approvalBackendSuspendApp,On Generation,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,auditAfterExecProvisionApp,After execution,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,auditAfterExecResizeApp,After execution,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,auditAfterExecStartApp,After execution,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,auditAfterExecSuspendApp,After execution,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,auditOnGenProvisionApp,After execution,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,auditOnGenResizeApp,After execution,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,auditOnGenStartApp,After execution,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,auditOnGenSuspendApp,After execution,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,clearProvisionApp,ClearProvision,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,clearResizeApp,ClearResize,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,clearStartApp,ClearStart,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,clearSuspendApp,ClearSuspend,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,postProvisionApp,PostProvision,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,postResizeApp,PostResize,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,postStartApp,PostStart,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,postSuspendApp,PostSuspend,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,preProvisionApp,PreProvision,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,preResizeApp,PreResize,# Action script manager migration is not supported in this release,,,,
